,ticker,score,c_trend,c_rsi,c_atr,c_rvol,c_rs,c_pattern,c_obv,c_rr,price,rsi,atr_pct,rvol,trend_count,rs_avg_pct,obv_slope,adx,pattern,pattern_score,valid,entry,stop,target,risk_per_share,rr,shares,position_value,dollar_risk,risk_pct
89,RTX,53.4,0.6,0.786,0.269,0.0,1.0,0.576,0.0,0.0,198.12,53.6,2.31,0.35,3,10.83,-8.65,12.3,pullback,0.576,False,198.12,191.26,206.73,6.86,1.26,1,198.12,11.0,3.46
90,ABNB,53.3,0.8,0.656,0.74,0.0,1.0,0.0,1.0,0.0,136.52,70.3,3.72,0.62,4,8.13,134.47,40.5,none,0.0,True,136.52,131.44,146.67,5.08,2.0,2,273.04,11.0,3.72
91,CARR,53.0,0.6,0.532,0.603,0.0,0.894,0.614,0.0,0.037,61.84,46.0,3.31,0.22,3,3.94,-9.17,29.2,pullback,0.614,True,61.84,58.77,68.33,3.07,2.11,3,185.52,11.0,4.97
92,BDX,52.9,1.0,0.866,0.55,0.0,1.0,0.0,0.0,0.0,177.18,64.0,3.15,0.41,5,11.51,-14.75,43.9,none,0.0,True,177.18,171.6,188.34,5.58,2.0,1,177.18,11.0,3.15
93,EVRG,52.9,1.0,0.646,0.201,0.0,1.0,0.0,1.0,0.0,83.16,70.6,2.1,0.41,5,8.93,4.2,53.8,none,0.0,False,83.16,81.41,86.66,1.75,2.0,6,498.96,11.0,2.1
94,PM,52.8,1.0,0.805,0.293,0.0,1.0,0.132,0.0,0.0,189.4,65.8,2.38,0.42,5,12.96,-5.3,34.5,squeeze,0.132,False,189.4,184.9,198.41,4.5,2.0,2,378.8,11.0,2.38
95,NVDA,52.7,0.8,0.815,0.695,0.148,0.759,0.0,1.0,0.0,187.31,65.6,3.58,1.3,4,2.59,19.47,14.4,none,0.0,False,187.31,180.6,200.74,6.71,2.0,1,187.31,11.0,3.58
96,UAL,52.6,0.6,0.999,0.725,0.0,1.0,0.0,1.0,0.0,115.94,60.0,5.32,0.57,3,9.53,87.45,14.1,none,0.0,True,115.94,109.77,128.29,6.17,2.0,1,115.94,11.0,5.32
97,UDR,52.3,0.6,0.879,0.319,0.0,0.542,0.806,0.0,0.0,37.96,56.4,2.46,0.15,3,0.42,-9.96,16.9,pullback,0.806,False,37.96,36.56,40.17,1.4,1.58,7,265.72,11.0,3.68
98,WELL,52.1,1.0,0.529,0.265,0.0,1.0,0.0,1.0,0.0,207.96,74.1,2.3,0.19,5,10.66,2.34,52.8,none,0.0,True,207.96,203.19,217.51,4.77,2.0,2,415.92,11.0,2.3
99,NI,52.0,1.0,0.585,0.178,0.0,1.0,0.0,1.0,0.0,46.62,72.5,2.03,0.36,5,7.63,69.83,27.5,none,0.0,True,46.62,45.67,48.52,0.95,2.0,11,512.82,11.0,2.03
100,MO,51.9,1.0,0.58,0.172,0.0,1.0,0.0,1.0,0.0,69.4,72.6,2.02,0.28,5,8.93,13.59,38.5,none,0.0,True,69.4,68.0,72.2,1.4,2.0,7,485.8,11.0,2.02
101,MAR,51.8,1.0,0.813,0.49,0.0,1.0,0.0,0.0,0.0,348.99,65.6,2.97,0.4,5,17.06,-3297.45,58.4,none,0.0,True,348.99,338.62,369.73,10.37,2.0,1,348.99,11.0,2.97
102,SW,51.2,0.8,0.843,0.89,0.0,1.0,0.0,0.0,0.0,45.0,55.3,4.83,0.26,4,8.23,-74.4,44.1,none,0.0,True,45.0,42.83,49.35,2.17,2.0,5,225.0,11.0,4.83
103,IRM,51.2,0.8,0.426,0.786,0.0,1.0,0.0,1.0,0.0,108.89,77.2,3.86,0.42,4,19.58,9.77,52.1,none,0.0,True,108.89,104.69,117.29,4.2,2.0,2,217.78,11.0,3.86
104,XOM,51.1,1.0,0.873,0.337,0.0,1.0,0.0,0.0,0.0,150.24,56.2,2.51,0.42,5,22.5,-4.41,47.1,none,0.0,True,150.24,146.47,157.78,3.77,2.0,2,300.48,11.0,2.51
105,EL,51.0,0.8,0.385,0.819,0.0,1.0,0.0,1.0,0.0,111.78,78.5,3.96,0.29,4,13.06,0.79,29.4,none,0.0,True,111.78,107.36,120.63,4.42,2.0,2,223.56,11.0,3.96
106,SO,50.9,0.8,0.844,0.248,0.0,0.992,0.0,1.0,0.0,96.36,64.7,2.24,0.38,4,4.92,117.04,40.7,none,0.0,True,96.36,94.2,100.68,2.16,2.0,5,481.8,11.0,2.24
107,EXC,50.8,1.0,0.402,0.276,0.0,1.0,0.0,1.0,0.0,48.67,77.9,2.33,0.39,5,6.45,167.06,50.1,none,0.0,True,48.67,47.54,50.94,1.13,2.0,9,438.03,11.0,2.33
108,SLB,50.7,0.8,0.856,0.448,0.0,1.0,0.147,0.0,0.0,51.94,64.3,2.84,0.33,4,29.63,-14.41,18.3,squeeze,0.147,True,51.94,50.46,54.89,1.48,2.0,7,363.58,11.0,2.84
109,INTC,50.7,0.8,0.369,0.704,0.0,1.0,0.29,0.0,0.0,45.16,41.1,5.39,0.47,4,27.49,-7.95,25.8,squeeze,0.29,True,45.16,42.73,50.03,2.43,2.0,4,180.64,11.0,5.39
110,HWM,50.6,1.0,0.1,0.628,0.0,1.0,0.0,1.0,0.0,259.43,89.7,3.38,0.18,5,29.8,12.47,52.4,none,0.0,True,259.43,250.65,276.98,8.78,2.0,1,259.43,11.0,3.38
111,VZ,50.3,1.0,0.91,0.206,0.0,1.0,0.0,0.0,0.0,49.11,62.7,2.12,0.26,5,16.76,-11.04,63.7,none,0.0,True,49.11,48.07,51.19,1.04,2.0,10,491.1,11.0,2.12
112,KDP,50.1,0.8,0.659,0.367,0.0,1.0,0.0,1.0,0.0,30.32,70.2,2.6,0.72,4,6.96,54.12,37.5,none,0.0,True,30.32,29.53,31.9,0.79,2.0,13,394.16,11.0,2.6
113,SRE,50.0,1.0,0.333,0.266,0.0,1.0,0.0,1.0,0.0,95.81,80.0,2.3,0.55,5,7.76,178.21,60.5,none,0.0,True,95.81,93.61,100.21,2.2,2.0,4,383.24,11.0,2.3
114,ETR,49.7,1.0,0.347,0.213,0.0,1.0,0.0,1.0,0.0,105.85,79.6,2.14,0.27,5,11.11,20.47,56.9,none,0.0,True,105.85,103.59,110.38,2.26,2.0,4,423.4,11.0,2.14
115,HAL,49.6,0.8,0.923,0.603,0.0,1.0,0.0,0.0,0.0,35.84,62.3,3.31,0.32,4,32.89,-0.59,14.2,none,0.0,True,35.84,34.65,38.21,1.19,2.0,9,322.56,11.0,3.31
116,NRG,49.3,0.8,0.1,0.972,0.0,1.0,0.0,1.0,0.0,178.42,80.7,4.58,0.34,4,11.98,17.55,37.5,none,0.0,True,178.42,170.24,194.78,8.18,2.0,1,178.42,11.0,4.58
117,PPL,49.0,1.0,0.511,0.206,0.0,0.85,0.0,1.0,0.0,38.59,74.7,2.12,0.49,5,3.5,27.49,30.2,none,0.0,True,38.59,37.77,40.22,0.82,2.0,13,501.67,11.0,2.12
118,EIX,48.6,1.0,0.1,0.395,0.0,1.0,0.0,1.0,0.0,74.18,81.6,2.68,0.33,5,25.28,8.17,65.3,none,0.0,True,74.18,72.19,78.16,1.99,2.0,5,370.9,11.0,2.68
119,BKR,48.4,1.0,0.1,0.377,0.0,1.0,0.0,1.0,0.0,65.09,81.4,2.63,0.31,5,26.72,5.39,45.5,none,0.0,True,65.09,63.38,68.51,1.71,2.0,6,390.54,11.0,2.63
